Id;SerialNumber;JobNr;Model;Description;Customer;FinalUser;Country;ManufactureDate;InstallationDate;MaterialType;ProductionRate;TotalPower;TotalWater;Certification
0;130;P20-043;A-PLUS-HC;A-105-HC-FF-V;Linpac Poland;Linpac Poland;;2021-01;2021-01;PE-PP;450;200;;
1;145;P22-069;A-PLUS-HC;A-105-HC-SF-V;LINPAC PACKAGING LTD UK;LINPAC PACKAGING LTD UK;;2023-01;2023-01;PE-PP;450;200;;
2;14;P19-099;A-35-AC;A-35-AC;PT AMG;PT AMG;;2019-01;2019-01;PE-PP;35;68;;
3;28;P19-094;A-35-AC;A-35-AC;Alfaplas;Alfaplas;;2019-01;2019-01;PE-PP;35;68;;
4;62;P19-073;A-35-AC;A-35-AC;BKC;BKC;;2020-01;2020-01;PE-PP;35;68;;
5;67;P20-001;A-35-AC;A-35-AC;COLLY MARTIN;COLLY MARTIN;;2020-01;2020-01;PE-PP;35;68;;
6;76;P20-002;A-35-AC;A-35-AC;Polipack;Polipack;;2020-01;2020-01;PE-PP;35;68;;
7;77;P19-105;A-35-AC;A-35-AC;Baesweiler folien GMBH;Baesweiler folien GMBH;;2020-01;2020-01;PE-PP;35;68;;
8;78;P20-006;A-35-AC;A-35-AC;Plastigaur;Plastigaur;;2020-01;2020-01;PE-PP;35;68;;
9;79;P20-004;A-35-AC;A-35-AC;Plastigaur;Plastigaur;;2020-01;2020-01;PE-PP;35;68;;
10;104;P20-033;A-35-AC;A-35-AC;BKC;BKC;;2020-01;2020-01;PE-PP;35;68;;
11;352; P24-031;A-35-AC;A-35-AC-TB-B&R-3N-400V-50Hz;RAJOO;RAJOO;;2024-01;2024-01;PE-PP;35;68;;
12;146;P21-024;A-35-AC;A-35-AC-TB-CE-400-3N;REIFENHAUSER PRIVATE LTD - MULTIBAX;REIFENHAUSER PRIVATE LTD - MULTIBAX;;2021-01;2021-01;PE-PP;35;68;;
13;147;P21-025;A-35-AC;A-35-AC-TB-CE-400-3N;Plasmac;Plasmac;;2021-01;2021-01;PE-PP;35;68;;
14;148;P21-027;A-35-AC;A-35-AC-TB-CE-400-3N;Plasmac;Plasmac;;2021-01;2021-01;PE-PP;35;68;;
15;13;P19-010;A-XS-AC;A-40-AC-RF;Ribeyron;Ribeyron;;2019-01;2019-01;PE-PP;45;20;;
16;36;P19-028;A-XS-AC;A-45-AC;Bandera / Sakos;Bandera / Sakos;;2019-01;2019-01;PE-PP;45;20;;
17;73;P20-034;A-XS-AC;A-45-AC-RF-TB-MSC;Samco;Samco;;2020-01;2020-01;PE-PP;45;20;;
18;5;P19-006;A-XS-AC;A-45-AC-RF;OP Nilsson;OP Nilsson;;2019-01;2019-01;PE-PP;45;20;;
19;6;P19-029;A-XS-AC;A-45-AC-RF-MSC;Termoplast;Termoplast;;2019-01;2019-01;PE-PP;45;20;;
20;1;P19-012;A-XS-AC;A-45-AC-RF-HF-MSC;Packages Lanka;Packages Lanka;;2019-01;2019-01;PE-PP;45;20;;
21;41;P19-092;A-XS-AC;A-45-AC-RF-TB;Liton;Liton;;2019-01;2019-01;PE-PP;45;20;;
22;18;P19-020;A-XS-AC;A-45-AC-RF-TB-MSC; Kaszmir; Kaszmir;;2019-01;2019-01;PE-PP;45;20;;
23;31;P19-070;A-XS-AC;A-45-AC-Supatrim;Ribeyron;Ribeyron;;2019-01;2019-01;PE-PP;45;20;;
24;81;P20-013;A-XS-AC;A-45-AC-TB;Polyfilm Nigeria;Polyfilm Nigeria;;2020-01;2020-01;PE-PP;45;20;;
25;97;P20-028;A-XS-AC;A-45-AC-TB-HF-MSC;GLOBE AGENCIES / MDV ;GLOBE AGENCIES / MDV ;;2020-01;2020-01;PE-PP;45;20;;
26;109;P20-030;A-XS-AC;A-45-AC-TB-HF-SR;Lordsmint;Lordsmint;;2020-01;2020-01;PE-PP;45;20;;
27;86;P20-024;A-XS-AC;A-45-AC-TB-RF;ANKATEKNIK PLASTIK / MAYA;ANKATEKNIK PLASTIK / MAYA;;2020-01;2020-01;PE-PP;45;20;;
28;103;P20-024;A-XS-AC;A-45-AC-TB-RF;ANKATEKNIK PLASTIK / MAYA;ANKATEKNIK PLASTIK / MAYA;;2020-01;2020-01;PE-PP;45;20;;
29;180;P21-050;A-XS-AC;A-45-AC-TB-RF-HF-MCF-400-50-SIDEPANEL;Karawia;Karawia;;2021-01;2021-01;PE-PP;45;20;;
30;83;P20-018;A-XS-AC;A-45-AC-TB-RF-MSC;Atlantic Packaging;Atlantic Packaging;;2020-01;2020-01;PE-PP;45;20;;
